playID,homeAbbr,awayAbbr,homeScore,awayScore
332430251_5_1,TEX,NMSU,0,0
332430251_5_2,TEX,NMSU,0,0
332430251_6_0,TEX,NMSU,0,0
332430251_6_1,TEX,NMSU,0,0
332430251_6_2,TEX,NMSU,0,0
332430251_6_3,TEX,NMSU,0,0
332430251_6_4,TEX,NMSU,0,0
332430251_6_5,TEX,NMSU,0,0
332430251_6_6,TEX,NMSU,0,0
332430251_6_7,TEX,NMSU,0,0
332430251_6_8,TEX,NMSU,0,0
332430251_6_9,TEX,NMSU,0,0
332430251_6_10,TEX,NMSU,0,0
332430251_6_11,TEX,NMSU,0,0
332430251_6_12,TEX,NMSU,0,0
332430251_7_0,TEX,NMSU,0,0
332430251_7_1,TEX,NMSU,0,0
332430251_7_2,TEX,NMSU,0,0
332430251_7_3,TEX,NMSU,0,0
332430251_7_4,TEX,NMSU,0,0
332430251_7_5,TEX,NMSU,0,0
332430251_7_7,TEX,NMSU,0,0
332430251_7_8,TEX,NMSU,0,0
332430251_7_9,TEX,NMSU,0,0
332430251_8_0,TEX,NMSU,0,0
332430251_8_1,TEX,NMSU,0,0
332430251_8_2,TEX,NMSU,0,0
332430251_9_0,TEX,NMSU,0,0
332430251_9_1,TEX,NMSU,0,0
332430251_9_2,TEX,NMSU,0,0
332430251_9_3,TEX,NMSU,0,0
332430251_10_0,TEX,NMSU,0,7
332430251_10_1,TEX,NMSU,0,7
332430251_10_2,TEX,NMSU,0,7
332430251_10_3,TEX,NMSU,0,7
332430251_10_4,TEX,NMSU,0,7
332430251_10_5,TEX,NMSU,0,7
332430251_10_6,TEX,NMSU,0,7
332430251_10_7,TEX,NMSU,0,7
332430251_10_8,TEX,NMSU,0,7
332430251_11_0,TEX,NMSU,0,7
332430251_11_1,TEX,NMSU,6,7
332430251_12_0,TEX,NMSU,7,7
332430251_12_2,TEX,NMSU,7,7
332430251_12_4,TEX,NMSU,7,7
332430251_13_0,TEX,NMSU,13,7
332430251_14_0,TEX,NMSU,14,7
332430251_14_1,TEX,NMSU,14,7
332430251_14_2,TEX,NMSU,14,7
332430251_14_3,TEX,NMSU,14,7
332430251_14_4,TEX,NMSU,14,7
332430251_15_0,TEX,NMSU,0,0
332430251_15_1,TEX,NMSU,0,0
332430251_15_2,TEX,NMSU,14,7
332430251_15_3,TEX,NMSU,14,7
332430251_15_4,TEX,NMSU,14,7
332430251_15_5,TEX,NMSU,20,7
332430251_16_0,TEX,NMSU,21,7
332430251_16_1,TEX,NMSU,21,7
332430251_16_2,TEX,NMSU,21,7
332430251_16_3,TEX,NMSU,21,7
332430251_17_0,TEX,NMSU,21,7
332430251_17_1,TEX,NMSU,21,7
332430251_17_2,TEX,NMSU,21,7
332430251_17_3,TEX,NMSU,27,7
332430251_18_0,TEX,NMSU,28,7
332430251_18_1,TEX,NMSU,28,7
332430251_18_2,TEX,NMSU,28,7
332430251_19_0,TEX,NMSU,28,7
332430251_19_1,TEX,NMSU,28,7
332430251_19_2,TEX,NMSU,34,7
332430251_20_0,TEX,NMSU,35,7
332430251_20_1,TEX,NMSU,0,0
332430251_21_0,TEX,NMSU,35,7
332430251_21_1,TEX,NMSU,35,7
332430251_21_2,TEX,NMSU,35,7
332430251_21_3,TEX,NMSU,35,7
332430251_21_4,TEX,NMSU,35,7
332430251_21_5,TEX,NMSU,35,7
332430251_22_0,TEX,NMSU,35,7
332430251_22_1,TEX,NMSU,35,7
332430251_22_2,TEX,NMSU,35,7
